Category,QuestionNo,Question,Choices,Answer,Advice
文章整序,101,"つぎのアからオを意味が通るように並び替えたとき、２番目と３番目にくる文の組み合わせを選びなさい。

ア　日本においては軍事や国防と密接に結びつけられてきた

イ　この条約の改正は大きな反対運動、いわゆる安保闘争を招いた

ウ　契機は「日米安全保障条約」の締結だと考えられる

エ　その結果、“Security”は「安全保障」よりも「安保」として定着した

オ　「安全保障」という言葉は英語の“Security”の訳語であるが","A. アとウ　
B. アとエ
C. イとア
D. エとオ
E. オとア","答え：A

最初はオ→アとわかる。イ「この条約」はウ「日米安全保障条約」を指すので、ウ→イがつながる。ここまでの文脈から、エが最後に入るとわかるので、正しい順番は、オアウイエ。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。
この問題の場合、選択肢の文章が違和感なく繋がるのはどの文章かを意識して考えるといいでしょう。ア～オの選択肢を見ると、イの「この条約」はウの「日米安全保障条約」を指しているので、ウ➝イに違和感なく繋がることが分かります。また、同じように文脈からオに続くのはアといったように順番に成立する文章を考えるといいでしょう。"
文章整序,102,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[４]に当てはまるものを選びなさい。

在宅医療は[１][２][３][４][５]広まっている。

A 自宅などの生活の場で

B 第３の医療提供形態として

C 入院医療、外来医療に次ぐ

D 通院が困難な患者が

E 療養を行えるようにする医療であり","A. A
B. B
C. C
D. D
E. E","答え：C

Ｂ「第3の医療提供形態」からＣ→Ｂがわかり、最後の「広まっている」につながる。

問題文はじめの「在宅医療は」がEの「医療であり」につながっているが､Eは在宅医療の詳しい説明になっていないため、D→Aで修飾する。よってD→A→Eができる。

DAECB。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。
この問題の場合、5に当てはまる文章を考えるといいでしょう。A～Eの選択肢を見ると文末の「広がっている。」に続くのはBであることが推測できます。5に当てはまるのがBと分かれば、その前に続く文章はCといったように違和感なく繋がることが分かります。
このように、文脈から順番に成立する文章を考えて問題を解いてみましょう。"
文章整序,103,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[３]に当てはまるものを選びなさい。

気体をさらに高温にすると、[１][２][３][４][５]その電磁場によって自らの運動をさらに変化させます。
A この状態をプラズマと呼びます。
B マイナスの電荷を持った電子に解離します。
C またプラズマが運動すると電場や磁場が生まれ、
D プラズマは電場や磁場を感じると運動が変化します。
E 原子がプラスの電荷を持つイオンと、","A. A
B. B
C. C
D. D
E. E","答え：A

「プラズマ」が出てこないと、文章で勝手に「プラズマ」は使われない。

よってC、DはAのあとと決まる。そしてCの「また、」より、A→D→Cの順とわかる。

そして問題文の「その電磁波」がCの「電場と磁場」を受けていることがわかるため、[４][５]がDC。

また、Bについて、問題文の「高温にすると、」が「解離します。」につながることがわかる。

そこでE→Bとするときれいな文となる。

最後にEBとADCを組み合わせれば、意味が通る。

EBADC。","言語の文章整序の問題では、与えられた文章を適切な順番に並び替え正しい文章として構成する力が求められます。問題文の空欄部分の文頭や文末に当てはまる文を探し、文章を選択することが正答するポイントになります。
この問題の場合、選択肢の文章が違和感なく繋がるのはどの文章かを意識して考えるといいでしょう。A～Eの選択肢を見ると、文章はBの「・・・解離します。」は文頭の「・・・高温にすると、」の後ろに続くであろうと分かります。ここで、解離するとは「XとYに解離する」というように目的語が複数であることが一般的です。したがって、E→Bとつなげると自然であることがわかります。
残りの選択肢も文章を順番に当てはめて完成させることを意識して問題を解いてみましょう。"
文章整序,104,"ＡからＥの文を[１]から[４]に入れて文の意味が通るようにしたとき、[２]に当てはまるものを選びなさい。

科学雑誌や映画やアニメのなかでは、[１][２][３][４]現生の生物から得られる知見に基づいて類推するしかありません。

A しかし過去の生物を直接知る手がかりは、化石記録しかありません。

B 古代の生物の様子がまるで見てきたかのような

C ですから、その生物の姿勢や動き、色や模様は、

D カラーイラストで描かれているのをよく目にします。","A. A
B. B
C. C
D. D","答え：D

最後の文につながるのはCしかない。

そしてCの「ですから」につながるのはAしかない。

あとはのこりのB→Dを並び替えて、

BDAC。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。選択肢の中の文章に含まれている接続詞に注目して問題を解いてみましょう。
この問題の場合、４に当てはまる文章を考えるといいでしょう。A～Cの選択肢を見ると、Cの「ですから」という接続詞を含む文章は最後にくることが推測できます。またCに繋がる文章はAであることが分かります。
このように文章を順番に当てはめて完成させることを意識して問題を解いてみましょう。"
文章整序,105,"つぎのアからオを意味が通るように並び替えたとき、２番目と３番目にくる文の組み合わせを選びなさい。

ア　職場の仕事の他に、家事育児や介護といった労働を「ケア労働」という

イ　日本では有償労働は男性に

ウ　働く女性はダブルワークを担わなくてはならないという問題がある

エ　無償のケア労働は女性に偏っている

オ　そのため、女性の社会進出が叫ばれている一方で","A. アとエ
B. イとエ
C. ウとア
D. エとイ
E. オとウ","答え：B

イ→エはすぐにわかる。アは、エ「ケア労働」の説明なのでその前に入る。残りはオ→ウとつながり、ア→イ→エの内容を踏まえているので最後に入り、アイエオウ。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。
この問題の場合、選択肢の文章が違和感なく繋がるのはどの文章かを意識して考えるといいでしょう。ア～オの選択肢を見ると、アは「ケア労働」について説明する文章であり、ア➝イ➝エの順に並べると違和感なく繋がることが分かります。また、同じように文脈からオに続くのはウといったように順番に成立する文章を考えるといいでしょう。"
文章整序,106,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[２]に当てはまるものを選びなさい。

国会は憲法により[１][２][３][４][５]

A 「二院制」がとられているのは、

B その二つとは「衆議院」と「参議院」です。

C 国会は二つの議会からなる「二院制」がとられていて、

D さまざまな意見を取り入れて慎重に話し合うという目的のためです。

E 「唯一の立法機関」と定められています。","A. A
B. B
C. C
D. D
E. E","答え：C

C→Bはすぐにわかる。

その後に二院制がとられている理由が来るのが自然だから、C→B→A→Dがわかる。

そうするとEが入るのは最初しか無い。よって、

ECBAD。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。問題文の空欄部分の文頭や文末に当てはまる文を探し、文章を選択することが正答するポイントになります。
この問題の場合、最初に1に当てはまる文章を最初に考えるといいでしょう。A～Eの選択肢を見ると、Eの「唯一の立法機関」は文頭の国会の説明を指していることが分かります。1に当てはまるのがEと分かれば、それに続きC➝Bへと繋がることも分かるでしょう。また二院制がとられている理由としてＤが文末にくることも推測できます。
このように文章を順番に当てはめて完成させることを意識して問題を解いてみましょう。"
文章整序,107,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[４]に当てはまるものを選びなさい。

第二次世界大戦後の日本では電気の普及に伴い、[１][２][３][４][５]この三つは現在になっても進化し続けています。

A 「冷蔵庫」「洗濯機」「白黒テレビ」が、

B 「三種の神器」と呼ばれました。

C 一般の家庭でも使える電化製品が次々と現れました。

D 例えば高度経済成長期のさなか登場した

E 人々の生活を豊かにするための","A. A
B. B
C. C
D. D
E. E","答え：E

問題文の最後に、「この三つは…」とあるが、これはAの三つの電化製品を受けている。

A→Bが主語述語でつながる。

Cの「電化製品」の登場の話のあとにDの「例え」の話しが出るとわかる。

以上から、C→D→A→Bがわかる。

最後に、Eの入る場所を考えると、Bを修飾する文としてAとBの間に入れるのが適切とわかる。よって、

CDAEB。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。問題文の空欄部分の文頭や文末に当てはまる文を探し、文章を選択することが正答するポイントになります。
この問題の場合、最初に4、5に当てはまる文章を最初に考えるといいでしょう。A～Eの選択肢を見ると、問題の文末にある「この三つは…」に繋がる文章は一見、A→Bに続くと思われますが、Bを修飾している文のEが間に入ることが適切であると推測できます。そのため、A➝E➝Bと繋がることが分かります。このように文章を順番に当てはめて完成させることを意識して問題を解いてみましょう。"
文章整序,108,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[３]に当てはまるものを選びなさい。

フェイクニュースとは、[１][２][３][４][５]これを情報リテラシーという。

A あっという間に嘘の情報が大量に生成される様になった。

B 嘘の情報を拡散して混乱を招かないために

C SNSが発達したことで情報の拡散が速くなり

D 正しく情報を把握する能力が必要である。

E 嘘の情報で構成されたニュースのことである。","A. A
B. B
C. C
D. D
E. E","答え：A

まず、文頭の「フェイクニュースとは」にたいする答えがEである。A〜DでEよりも前にはいるものは無いので[１]はEと決まる。

また、C→A、B→Dの塊がわかる。

そして文末の「これが情報リテラシー」が、Dの「正しく情報を把握する能力」をうけているから、

ECABD。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。問題文の空欄部分の文頭や結論に当てはまる文を探し違和感なく繋がる文章を選択することが正答するポイントになります。
この問題の場合、最初に1に当てはまる文章を考えるといいでしょう。A〜Eの選択肢を見ると、文頭の「フェイクニュースとは」に対する答えはEのみであることが分かります。また5に当てはまる文章は「情報リテラシー」の意味に繋がるDであると分かります。Eが1、Dが5に当てはまることが分かればDに続くのはBといったように順番に当てはめて文章を考えるといいでしょう。"
文章整序,109,"つぎのアからオを意味が通るように並び替えたとき、イの次にくる文を選びなさい。

ア　遺伝子の働きによりインスリンを強く受容する人がいるという事実がノックアウトマウスによって明らかになったのです。

イ　遺伝子を完全にコントロールすることは難しく、必ずしも思い通りのタイプのマウスにはなりません。

ウ　ノックアウトマウスとは遺伝子操作により意図的に遺伝子を欠損させたマウスのことです。

エ　このような新しい発見の為にノックアウトマウスのような実験動物は欠かせませんが、倫理にのっとって行う必要があります。

オ　しかし、ノックアウトマウスによって病気を引き起こす遺伝子がわかったという例もあります。","A. ア
B. ウ
C. エ
D. オ
E. イが最後の文","答え：D

最初の文がどれなのかを見つける。

エやオの文頭は前の文を受けているから違う。アイウで適切なのはウであるとわかる。

オのあとは「例」が来るはずだからアとなる。そしてアの内容がエの「このような」につながる。

最後に、イはウのあとに入れるときれいな文章となる。

ウイオアエ。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。問題文の空欄部分の文頭や文末に当てはまる文を探し、違和感なく繋がる文章を選択することが正答するポイントになります。
この問題の場合、最初に文頭にくる文章を考えるといいでしょう。エとオを見ると前文を受けている文章ということが分かるので、残りの選択肢であるアイウの中の適切であるウが文頭にくると推測できるでしょう。ウが文頭にくることが分かれば、ウに続くのはイといったように順番に成立する文章を考えるといいでしょう。"
文章整序,110,"ＡからＥの文を[１]から[５]に入れて文の意味が通るようにしたとき、[２]に当てはまるものを選びなさい。

最近のレインコートは従来の[１][２][３][４][５]ものが増えてきた。

A 雨や湿気を防ぐという

B 気分を明るくしてくれる

C デザイン性のある簡易レインコートのように

D レインケープとかレインポンチョと言われる

E 機能だけでなく","A. A
B. B
C. C
D. D
E. E","答え：E

「従来の」、E「機能だけでなく」、「増えてきた」から、従来→最近の対比の構造が見える。

D→Cは自然につながり、B「気分を明るくしてくれる」ものの例と考えられる。

これに対しA「雨や湿気を防ぐという」が従来のものと考えられるので、A→Eを最初において、AEDCB。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。問題文の空欄部分の文頭や結論に当てはまる文を探し違和感なく繋がる文章を選択することが正答するポイントになります。
この問題の場合、最初に1に当てはまる文章を考えるといいでしょう。A〜Eの選択肢を見ると、「従来のレインコート」を説明している文章はAであることが分かります。1に当てはまる文章がAだと分かれば、それに続くのはEであることが推測できます。また文末の「ものが…」の表現の例えとしてBの文章がくることが分かります。
このように文章を順番に当てはめて完成させることを意識して問題を解いてみましょう。"
文章整序,111,"つぎのアからオを意味が通るように並び替えたとき、２番目と４番目にくる文の組み合わせを選びなさい。

ア　また、歯や歯茎の状態は健康にも直結するが、顔の若々しさにも影響する問題である。

イ　３５歳を超えると、８０％以上の人が歯周病にかかっていると言われるほどだ。

ウ　３０代後半になると、体力的な衰えが気になるようになるが、

エ　歯周病が進み、頬がこけたようになると、とても老けて見えてしまうからだ。

オ　それは、歯や歯茎の状態にもあらわれてくる。","A. アとイ
B. イとア
C. イとエ
D. エとイ
E. オとア
F. オとエ","答え：E

先頭になるのはウのみで、ウ→オで意味が通る。その後具体例としてイが入る。

前半の内容を踏まえて、ア→エで歯や歯茎の状態の顔の若々しさへの影響を説明していると考えられる。

ウオイアエ。","言語の文章整序の問題では与えられた文章を適切な順番に並び替え、正しい文章として構成する力が求められます。選択肢の中の文章に含まれている接続詞に注目して問題を解くこともポイントになります。
この問題の場合、選択肢の文章が違和感なく繋がるのはどの文章かを意識して考えるといいでしょう。ア～オの選択肢を見ると、イは「35歳を超えると…」という具体例を用いて説明する文章であることが分かります。なので、その前に入る文章はウであることが分かり、ウ➝オの順に並べると違和感なく繋がることが分かります。同じように文脈からオに続くのはウといったように順番に成立する文章を考えるといいでしょう。"
文章整序,112,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

猜疑さいぎ：怪訝けげん

ア　被告：原告

イ　決断：決心　

ウ　区分：分類","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：F

猜疑（うたがうこと）と怪訝は同義語。決断（心をきめること）と決心は同義語。また、区分（ある基準でいくつかにわけること）と分類も同義語。被告（訴訟で訴えられた人）と原告（訴訟を起こした人）は対義語。","言語の二語の関係の問題では二語の関係性を理解することが重要になります。関係性を理解するためには、二語の意味を適切に理解しておくことがポイントになります。
この問題では、「猜疑」と「怪訝」の意味が同じであることから二語の関係が同義語であることが分かります。したがって、同義語の関係であるウが正解となります。
このように、二語の意味を理解しておくといいでしょう。
また他にも「同義語」の関係である二語の例として、「作者」と「著者」や「決断」と「決心」などがあります。"
二語の関係,113,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

なべ：ふた

ア　着物：帯

イ　薔薇：花

ウ　夢：うつつ","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：A

なべとふたはワンセット。着物と帯はワンセット。薔薇は花の一種。夢とうつつ（現実）は対義語。","言語の二語の関係の問題では二語の関係を理解することが重要になります。関係性を理解するためには、二語の意味を把握しておくことが重要です。
この問題では、「なべ」と「ふた」が同じワンセットであることから二語の関係が一組(セット)であることが分かります。したがって、一組の関係であるアが正解となります。
他にも「一組(セット)」の関係である二語の例として、「鉛筆」と「消しゴム」などがあります。"
二語の関係,114,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

治療：病院

ア　ほうき：掃除

イ　文具：はさみ

ウ　撹拌かくはん：ミキサー","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：C

病院㊨の役目は治療㊧。ウのミキサー㊨の役目は撹拌㊧（かきまぜること）。イのはさみは文具の一種。アのほうき㊧の役目は掃除㊨で、同じ役目の関係だが、左右が逆なので不適。
","言語の二語の関係の問題では二語の関係を理解することが重要になります。
この「治療」と「病院」という問題では、一方（右）の語句の役割がもう一方（左）の語句であることから二語の関係が「役目」であることが分かります。したがって、役目の関係であるウが正解となります。
また他にも「役目」の関係である二語の例として、「カメラマン」と「撮影」や「クーラー」と「冷房」などがあります。"
二語の関係,115,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

製造：販売

ア　立案：実行

イ　野菜：収穫

ウ　会社：起業","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：A

製造したものを販売する。同様に、立案したものを実行する。

イ、ウはそれぞれ「野菜を収穫」「会社を起業」と言えるが、問題文と選択肢アは「製造を販売する」「立案を実行する」とは言えない。",No advice provided for this question.
二語の関係,116,"最初に示された二語の関係を考えて、同じ関係の対になるよう（）にあてはまる言葉を選びなさい。

法律：民法

政治家：（　　）","A. 弁護士
B. 選挙
C. 代表
D. 知事
E. 内閣","答え：D

民法㊨は法律㊧の一種である。同様に知事は政治家の一種である。","言語の二語の関係の問題では二語の関係を理解することが重要になります。
この「法律」と「民法」という問題では、右の語句が左の語句の一種であることから二語の関係が「包含」であることが分かります。したがって、「政治家」対して包含の関係である「知事」という言葉が正解となります。 このように、二語の役割の関係性を把握し理解することを意識してみましょう。
他にも「包含」の関係である二語の例として「新聞」と「メディア」や「文具」と「はさみ」があります。"
二語の関係,117,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

往信：返信

ア　作者：著者

イ　些細：重大

ウ　拡大：縮小","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：F

往信（こちらから出す通信）と返信は対義語。些細（とるにたりないさま）と重大、拡大と縮小も対義語。作者と著者は同義語。","言語の二語の関係の問題では、二語の関係性を理解することが重要になります。関係性を理解するためには、二語の意味などを適切に理解しておくことがポイントになります。
この問題では、「往信」と「返信」の意味が正反対の関係を表すことから二語の関係が対義語であることが分かります。したがって、対義語の関係であるイ、ウが正解となります。 このように、二語の意味を適切に理解しておくことが重要です。
また、他にも「対義語」の関係である二語の例として、「進捗」と「停滞」や「募集」と「応募」などがあります。"
二語の関係,118,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

薬品：調合

ア　道路：整備

イ　除菌：消臭

ウ　衣服：洗濯","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答えE

目的語と動詞の関係。薬品を調合する。同じく、道路を整備する、衣服を洗濯する。","言語の二語の関係の問題では二語の関係を理解することが重要になります。関係性を理解するためには、二語を使って文章を組み立ててみることが有効です。
この問題では、「薬品を調合する」と文章にすることで二語の関係が「目的語と動詞」であることが分かります。したがって、目的語と動詞の関係であるア、ウが正解となります。
このように、二語の関係を文章にしてみることを意識して問題を解いてみましょう。
また、他にも「目的語と動詞」の関係である二語の例として、「野菜」と「収穫」や「会社」と「起業」などがあります。"
二語の関係,120,"最初に示された二語の関係を考えて、同じ関係の対になるよう（）にあてはまる言葉を選びなさい。

防寒：手袋

散髪：（　　）","A. 理髪
B. 床屋
C. 予約
D. 染髪
E. 広告","答え：B

防寒は手袋の役目。同様に散髪は床屋の役目。","言語の二語の関係の問題では、二語の関係を適切に理解することが重要になります。
この「防寒」と「手袋」という問題では、一方（右）の語句の役割がもう一方（左）の語句であることから二語の関係が「役目」であることが分かります。したがって、「散髪」は「床屋」の役目であることが分かり、正解となります。
また、他にも「役目」の関係である二語の例として、「掃除」と「ほうき」や「葉緑体」と「光合成」などがあります。"
二語の関係,121,"最初に示された二語の関係を考えて、同じ関係のものを選びなさい。

米：餅

ア　乳製品：チーズ

イ　ワイン：葡萄

ウ　小麦：パン","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：C

米㊧（もち米）は餅㊨の原料であり、小麦㊧はパン㊨の原料。チーズは乳製品の一種。葡萄㊨はワイン㊧の原料だが左右が逆。","言語の二語の関係の問題では、二語の関係を適切に理解することが重要になります。
この「米」と「餅」という問題では、一方（左）の語句がもう一方（右）の語句の原材料であることが分かります。したがって、原材料の関係であるウが正解となります。左右にも注目をして問題を解いてみましょう。"
空欄補充,122,"文中の空欄に入る最も適切なものを選びなさい。

近年、ボランティア活動への参加率における学歴差は残っているものの、収入や職業的地位による差は小さくなりつつある。かつて○○〇ボランティア活動をする傾向があったが、2000年代以降、そうした傾向がみられにくくなっているのである。","A. 大卒の人が高卒の人よりも
B. 周囲の人々の期待に応えるために
C. 高収入の人や経営者・役員の人ほど
D. 就職活動で用いるために","答え：C

最初の文では、近年のボランティア活動における変化が述べられている。後半の文では「かつて」の傾向と「2000年代以降」を比較しており、最初の文の変化をくわしく言い換えていると考えられる。最初の文から、かつては「収入や職業的地位による差」が大きかったといえる。よってCがもっとも適切である。",No advice provided for this question.
空欄補充,123,"文中の空欄に入る最も適切なものを選びなさい。

社長が〇〇〇 を押す。","A. 横紙
B. 専横
C. 横暴
D. 横槍
E. 横車","答え：E

横車を押す（理不尽なものごとを強引に押し通す）が正解。同じ意味の横紙を破るや、横槍を入れる（脇から第三者が口を挟む）という表現もある。",No advice provided for this question.
空欄補充,124,"文中の空欄に入る最も適切なものの組み合わせを選びなさい。

幹細胞は必要な時に必要な分だけ 　１　 したり、異なる性質の細胞に分化したりすることができる細胞です。また、幹細胞の近くにあるニッチ細胞がその能力を 　２　 しています。たとえば、怪我をして皮膚が傷ついたら、皮膚下でニッチ細胞が幹細胞に信号を送り、新しく皮膚の細胞を作り出すのです。","A. 1．培養　2．制御
B. 1．成長　2．調節
C. 1．増殖　2．阻害
D. 1．培養　2．促進
E. 1．成長　2．阻害
F. 1．増殖　2．調節","答え：F

３文目の具体例から、幹細胞はニッチ細胞からの信号を受けて新たに細胞を作り出すことがわかる。 　１　 の文は幹細胞の能力を説明しており、選択肢の中で新たに細胞をつくるはたらきを表すのは増殖である。また、２文目の「その能力」は幹細胞の増殖・分化の能力を指すと考えられる。 　２　 は必要に応じて幹細胞に信号を送り能力を発現させることであり、「制御」か「調節」が当てはまりそうである。 　１　 との組み合わせから、答えはFとわかる。",No advice provided for this question.
空欄補充,125,"文中の空欄に入る語として最も適切なものを、AからEまでの中から１つ選びなさい．

彼女は割り勘にすると言って譲らなかった。
　　she  ○○  on splitting the bill.","A. insisted
B. criticized
C. ignored
D. influenced
E. justified","答え：A

insist on で「主張する」",No advice provided for this question.
空欄補充,126,"文中の空欄に入る語として最も適切なものを、AからEまでの中から１つ選びなさい．

この電車は回送なので利用できません。
　　This train is out of  ○○","A. it’s mind
B. order
C. service
D. use
E. sight","答え：C

out of service で「利用不可」

out of order で「故障中」

out of sight で「見えないところに」

out of one’s mind で「正気ではない」",No advice provided for this question.
空欄補充,127,"文中の空欄に入る語として最も適切なものを、AからEまでの中から１つ選びなさい．

彼女は貸し切り馬車を当日にキャンセルしたので違約金が発生した。
　　She had to pay a penalty ○○ due to cancelling the private carriage on the scheduled day.","A. cost
B. deposit
C. duty
D. fee
E. money","答え：D

penalty fee で「違約金」

cost は「経費」

fee は「授業料」

deposit は「預金」

duty は「税」",No advice provided for this question.
同意語,128,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

evident","A. conscious
B. accurate
C. obvious
D. absolute
E. vague","答え：C

evident：明白な

A    conscious：気づいている，意識している

B    accurate：正確な

C    obvious：明白な

D    absolute：絶対的な

E    vague：曖昧な　(対義語)","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また頻出単語を出来るだけ多く暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のevidentの意味は「明白な」という意味を表しているので、同じ「明らかな」といった意味を持つCの「obvious」が正解となります。
このように、基礎的な単語の意味を理解しておくことが正答するコツになります。
他にも、「allow（許可する）」と「permit（許可する）」や「adequate（適当な）」と「acceptable（適当な）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,129,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

fault","A. defect
B. ceiling
C. advantage
D. fever
E. accident","答え：A

fault：欠点、誤り

A    defect：欠点、不足

B    ceiling：天井、(価格などの)最高限度

C    advantage：有利、好都合　(対義語)

D    fever：熱

E    accident：事故","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また頻出単語を出来るだけ多く暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のfaultの意味は「欠点、誤り」という意味を表しているので、同じ「欠陥」や「不足」といった意味を持つAの「defect」が正解となります。
このように、基礎的な単語の意味を理解しておくことが正答するコツになります。単語の意味が分からない場合は、意味を推測するか消去法を用いて解いてみましょう。
他にも、「method（手法）」と「means（方法）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,130,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

allow","A. assure
B. forbid
C. raise
D. permit
E. assemble","答え：D

allow：許可する

A    assure：保証する

B    forbid：禁止する　(対義語)

C    raise：上昇させる

D    permit：許可する

E    assemble：集める、組み立てる","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また頻出単語を出来るだけ多く暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のallowの意味は「～を許す」や「可能にする」という意味を表しているので、同じ「許可する」といった意味を持つDの「permit」が正解となります。
このように、基礎的な単語の意味を理解しておくことが正答するコツになります。単語の意味が分からない場合は、意味を推測するか消去法を用いて解いてみましょう。
他にも、「formal（公式の）」と「official（公式の）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,131,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

adequate","A. prevailing
B. theoretical
C. acceptable
D. dull
E. incompetent","答え：C

adequate：適当な

A    prevailing：優勢な

B    theoretical：理論上の

C    acceptable：適当な

D    dull：面白くない

E    incompetent：役に立たない　(対義語)","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また出題される単語の対義語も暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のadequateの意味は「適当な、適切な」という意味を表しています。なので、対義語である選択肢Eの「incompetent」は違うことが分かります。そして、同じ「適当な」といった意味を持つCの「acceptable」が正解となります。
このように、基礎的な単語の意味を理解しておくことが正答するコツになります。単語の意味が分からない場合は、意味を推測するか消去法を用いて解いてみましょう。
他にも、「validity（効力）」と「effectiveness（有効性）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,132,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

validity","A. effectiveness
B. intellect
C. beverage
D. uselessness
E. likelihood","答え：A

validity：効力

A    effectiveness：有効性

B    intellect：知性

C    beverage：飲み物

D    uselessness：無駄　(対義語)

E    likelihood：見込み　","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また出題される単語の対義語も暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のvalidityの意味は「効力」という意味を表しています。なので、対義語である選択肢Dの「uselessness」は違うことが分かります。そして、同じ「有効性」といった意味を持つAの「effectiveness」が正解となります。
このように、基礎的な単語の意味を理解しておくことが正答するコツになります。
他にも、「proof（証拠）」と「evidence（証拠）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,133,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

probability","A. inventory
B. dignity
C. anxiety
D. possibility
E. insanity","答え：D

probability：可能性

A    inventory：在庫

B    dignity：尊厳

C    anxiety：不安

D    possibility：可能性　

E    insanity：狂気　","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また頻出単語を出来るだけ多く暗記しておけば即座に回答することができるでしょう。
この問題の場合、問題文のprobabilityの意味は「可能性」や「確率」という意味を表しているので、同じ「可能性」といった意味を持つDの「possibility」が正解となります。 「possible（可能）」を知っていれば「possibility」の意味も推測できるでしょう。このように、基礎的な単語の意味を理解しておくことが正答するコツになります。
他にも、「noble（立派な）」と「brilliant（素晴らしい）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
同意語,134,"次の単語と最も意味が近い語を，AからEまでの中から一つ選びなさい。

collective","A. separate
B. cooperative
C. tangible
D. granite
E. precision","答え：B

collective：集団的な

A    separate：個々の　(対義語)

B    cooperative：協同の　

C    tangible：有形の

D    granite：花崗岩　

E    precision：精密な　","英語の同意語の問題では、出題される単語と選択肢に出る単語の意味を理解することが重要になってきます。また出題される単語の対義語も暗記しておくと選択肢から即座に外すことができるでしょう。
この問題の場合、問題文のcollectiveの意味は「集団的な」という意味を表しています。なので、対義語である選択肢Aの「separate」は違うことが分かります。そして、「集団的な」に近い「協同の」といった意味を持つBの「cooperative」が正解となります。 このように、基礎的な単語の意味を理解しておくことが正答するコツになります。
他にも、「proof（証拠）」と「evidence（証拠）」など同意語は沢山ありますので1つ1つ覚えておきましょう。"
